design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner,split_set
cntr_3ud,10,0.1,0.5,23,3,0.580608,1,215.7098,2.3597,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Test
cntr_3ud,10,0.5,0.5,23,3,0.580608,1,822.9146,2.3775,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,10,0.3,0.5,23,3,0.580608,1,514.8251,2.3775,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,10,0.8,0.5,23,3,0.580608,1,1.285,2.3775,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Validation
cntr_3ud,10,0.5,0.3,23,3,0.580608,1,825.0593,2.3698,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Validation
cntr_3ud,10,0.5,0.7,23,3,0.580608,1,819.6915,2.3745,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,50,0.1,0.5,23,3,0.580608,1,461.7032,2.3597,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,50,0.5,0.5,23,3,0.580608,1,1.0335,2.3775,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,50,0.3,0.5,23,3,0.580608,1,725.2836,2.3775,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,50,0.8,0.5,23,3,0.580608,1,1.4958,2.3775,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,50,0.5,0.3,23,3,0.580608,1,1.0442,2.3698,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,50,0.5,0.7,23,3,0.580608,1,1.0175,2.3745,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,100,0.1,0.5,23,3,0.580608,1,477.4746,2.3589,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Validation
cntr_3ud,100,0.5,0.5,23,3,0.580608,1,1.1886,2.3555,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,100,0.3,0.5,23,3,0.580608,1,880.2415,2.3555,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,100,0.8,0.5,23,3,0.580608,1,1.6509,2.3555,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,100,0.5,0.3,23,3,0.580608,1,1.21,2.36,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,100,0.5,0.7,23,3,0.580608,1,1.1671,2.3511,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,200,0.1,0.5,23,3,0.580608,1,510.5475,2.3615,nW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
cntr_3ud,200,0.5,0.5,23,3,0.580608,1,1.4574,2.3559,uW/nW,0.6,25,TT,saed05rvt_base_tt0p60v25c,Train
